,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,streams,danceability,energy,key_y,loudness,mode_y,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature,collaboration,months_before_christmas
313,Hype Boy,NewJeans,1,2022,8,1,363472647,59.3,93.5,4,-3.43,0,22.5,26.8,0.0,28.6,78.3,99.976,179.02700000000002,4,0,4
314,Bloody Mary,Lady Gaga,1,2011,1,1,372476382,59.1,63.4,9,-6.365,0,2.91,1.0699999999999998,0.000195,11.3,44.0,99.998,244.76,4,0,11
315,WANDA,Quevedo,1,2023,1,20,175399345,71.89999999999999,65.7,4,-4.372,0,6.660000000000001,28.5,0.0,25.9,95.4,176.031,160.909,4,0,11
316,Thought You Should Know,Morgan Wallen,1,2022,5,6,203221468,53.7,70.1,6,-6.214,1,2.64,48.0,0.000665,14.499999999999998,55.2,139.995,215.572,4,0,7
317,In The End,Linkin Park,1,2000,10,24,1624165576,55.60000000000001,86.4,3,-5.87,0,5.84,0.958,0.0,20.9,40.0,105.143,216.88,4,0,2
318,Zona De Perigo,Leo Santana,1,2022,12,8,134294498,80.5,76.7,5,-5.612,1,3.49,74.8,0.00166,35.0,97.0,135.06,142.15200000000002,4,0,0
319,Lovezinho,Treyce,1,2022,7,28,70069745,72.7,93.2,9,-4.934,0,10.1,10.4,0.000575,21.1,61.6,160.91,163.37,4,0,5
320,I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2,2022,6,3,609293408,73.3,67.0,5,-6.009,1,7.51,12.1,0.0,12.1,47.2,100.964,192.841,4,1,6
321,Neverita,Bad Bunny,1,2022,5,6,671365962,87.6,49.8,10,-7.511,1,4.78,7.06,0.0,14.3,42.8,122.016,173.119,4,0,7
322,Vista Al Mar,Quevedo,1,2022,9,8,362361576,75.9,56.10000000000001,0,-5.643,0,13.1,80.30000000000001,12.1,10.1,49.1,104.915,180.673,4,0,3
323,Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",4,2021,9,3,1223481149,72.8,78.3,11,-4.424,0,26.6,23.7,0.0,43.4,55.50000000000001,77.011,173.381,4,1,3
324,Revenge,XXXTENTACION,1,2017,8,25,1022258230,74.6,25.1,11,-16.169,0,25.9,78.2,0.203,10.6,18.0,139.999,120.027,4,0,4
325,Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2,2022,11,3,263453310,65.4,94.8,1,-3.672,1,5.48,30.0,0.0,92.0,70.6,158.054,154.702,4,1,1
326,Love Again,The Kid Laroi,1,2023,1,27,147538971,58.4,45.5,11,-6.211,0,2.76,44.7,0.0,11.3,36.7,107.055,146.466,4,0,11
327,After Hours,The Weeknd,1,2020,2,19,698086140,65.8,57.2,5,-6.099,0,3.08,8.110000000000001,0.61,12.1,14.4,108.968,361.027,4,0,10
328,About Damn Time,Lizzo,1,2022,7,15,723894473,83.6,74.3,10,-6.305,0,6.529999999999999,9.74,0.0,33.5,72.3,108.965,191.938,4,0,5
329,Born With A Beer In My Hand,Morgan Wallen,1,2023,3,3,34450974,53.3,82.19999999999999,0,-5.565,1,4.03,4.89,0.0033599999999999,36.5,63.6,148.124,188.524,4,0,9
330,Maan Meri Jaan,King,1,2022,10,12,319566866,69.8,50.5,6,-8.242,0,3.56,35.4,0.0,9.95,39.6,95.868,194.654,4,0,2
331,Moscow Mule,Bad Bunny,1,2022,5,6,909001996,80.4,67.4,5,-5.453,0,3.3300000000000005,29.4,0.000118,11.5,29.2,99.968,245.94,4,0,7
332,My Universe,"Coldplay, BTS",2,2021,9,24,1061966512,57.3,71.1,1,-6.268,0,4.06,1.14,0.0,32.800000000000004,47.0,105.006,226.198,4,1,3
333,I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",3,2023,1,27,103787664,69.69999999999999,89.9,0,-4.451,1,6.69,17.8,0.00102,41.8,83.3,114.939,229.605,4,1,11
334,TRUSTFALL,P!nk,1,2023,1,27,134255790,63.6,88.8,8,-3.889,1,9.45,0.1619999999999999,0.0215999999999999,14.7,25.0,122.032,237.2,4,0,11
335,ANTIFRAGILE,LE SSERAFIM,1,2022,10,17,301051721,87.9,78.4,10,-3.944,0,8.1,7.59,0.0,12.5,83.0,105.019,184.444,4,0,2
336,Boy's a liar,PinkPantheress,1,2022,11,30,156338624,69.6,80.9,5,-8.254,1,5.0,25.2,0.0127999999999999,24.8,85.7,132.962,131.013,4,0,1
337,VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",2,2023,1,13,152850295,78.8,67.10000000000001,0,-5.537,1,4.34,7.13,0.0,26.200000000000003,61.1,100.096,175.776,4,1,11
338,Shirt,SZA,1,2022,10,28,309653982,84.8,51.2,3,-7.72,0,10.2,22.8,0.232,8.790000000000001,57.2,120.009,181.84,4,0,2
339,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,2022,10,28,297328960,24.7,29.9,9,-6.083,1,3.15,89.9,0.0,13.1,17.2,177.115,196.52,4,0,2
340,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,1,2022,9,22,332506354,63.7,71.5,2,-4.971,0,4.55,14.8,0.0,8.92,30.8,141.872,210.576,4,0,3
341,"Sex, Drugs, Etc.",Beach Weather,1,2016,11,4,480507035,56.99999999999999,84.2,4,-5.085,0,3.81,1.36,0.876,52.400000000000006,47.0,143.975,196.784,4,0,1
342,Boy With Luv (feat. Halsey),"Halsey, BTS",2,2019,4,12,1065580332,64.5,86.2,11,-4.761,0,8.450000000000001,9.33,0.0,19.3,80.30000000000001,119.947,229.773,4,1,8
343,"Hey, Mickey!",Baby Tate,1,2016,9,27,122763672,91.2,50.7,2,-11.952,1,5.87,57.9,0.0,16.7,72.5,134.978,115.556,4,0,3
